loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
62,1,Graduate,No,9428136.0,14806454,6,615.0,5874620.0,13958319,9842060,8734451,Approved
63,4,Not Graduate,No,8250970.0,14373338,18,376.0,9748033.0,8110021,3875383,9778048,Approved
64,2,Graduate,No,5358198.0,35409938,16,678.0,3409159.0,5432624,19568652,7396247,Approved
65,1,Graduate,No,4833572.0,39377463,6,760.0,15665983.0,8654932,17791928,8242530,Approved
66,3,Not Graduate,No,6272479.0,9766968,14,355.0,3826996.0,955432,5946337,11743493,Rejected
67,0,Graduate,Yes,2744955.0,16072861,10,380.0,5894269.0,10701522,12262241,14875027,Rejected
68,4,Graduate,No,5242028.0,23127906,4,475.0,,10977121,1771615,2391269,Rejected
69,0,Graduate,Yes,8549650.0,34907704,16,682.0,7919223.0,13903398,21797719,5527115,Approved
70,5,Not Graduate,Yes,4731867.0,4849979,2,448.0,,18511210,6149244,11949378,Approved
71,4,Not Graduate,No,6108947.0,17111851,8,580.0,24534283.0,12584854,875600,10367670,Approved
72,1,Not Graduate,No,9350360.0,12485113,8,644.0,10029421.0,7819625,15270217,7969553,Approved
73,0,Graduate,No,4276372.0,21592207,20,708.0,21587915.0,18734149,4863511,12196116,Approved
74,4,Not Graduate,No,6333401.0,23265124,10,329.0,17389697.0,17119819,6781832,3452642,Rejected
75,4,Not Graduate,No,6878134.0,16974698,8,721.0,6437805.0,12942274,3852913,6426559,Approved
76,4,Graduate,No,3507408.0,27574793,2,530.0,22184022.0,2842387,21617079,584356,Rejected
77,4,Graduate,No,1089297.0,37193814,14,658.0,11389752.0,3979752,20693881,6528274,Approved
78,0,Graduate,No,757715.0,2519627,20,461.0,18214763.0,4304701,1007445,2660568,Approved
79,2,Not Graduate,No,,26572182,4,527.0,24976919.0,4961708,13329145,7554871,Rejected
80,0,Not Graduate,Yes,3213433.0,3526487,20,520.0,21924508.0,3420990,5432319,1927357,Approved
81,5,Not Graduate,No,2052978.0,16531612,6,372.0,25030344.0,16756359,853648,13485073,Rejected
82,3,Graduate,No,5433295.0,33391743,10,698.0,28175132.0,8501913,9811986,1872615,Rejected
83,2,Not Graduate,No,9601594.0,14444301,16,394.0,23606003.0,12297509,22067208,4435357,Rejected
84,0,Not Graduate,No,8809575.0,17281851,20,774.0,5977167.0,7308635,3828920,7150775,Approved
85,1,Not Graduate,No,6379650.0,316291,16,394.0,5239049.0,3734626,16376869,7291122,Approved
86,1,Not Graduate,Yes,,29582889,4,423.0,24752742.0,4010859,11606738,8099241,Approved
87,4,Graduate,No,1375471.0,13104959,18,799.0,15424686.0,17381226,7889799,1254625,Approved
88,3,Graduate,No,6780915.0,30533714,12,347.0,7381720.0,650369,907184,10225353,Rejected
89,5,Not Graduate,Yes,6218455.0,21771789,18,394.0,2979235.0,2850310,13321317,13859377,Rejected
90,2,Not Graduate,No,,30092694,8,776.0,21519486.0,18145176,12691372,3811198,Approved
91,0,Not Graduate,No,6270893.0,19962373,6,332.0,6093622.0,13856562,13284500,8846083,Rejected
92,4,Graduate,Yes,5095201.0,30444205,10,417.0,22718629.0,7030964,20975708,12054846,Rejected
93,4,Not Graduate,No,2294035.0,17631452,10,550.0,3411003.0,16238059,9472801,9685698,Rejected
94,3,Graduate,No,4867217.0,24129099,8,602.0,28052779.0,4956739,10710155,3818864,Rejected
95,4,Graduate,No,8178304.0,33932132,14,421.0,10985870.0,12726593,2231590,12198135,Rejected
96,2,Not Graduate,No,7693288.0,30506738,16,517.0,22938898.0,515690,16331525,13622839,Approved
97,3,Not Graduate,Yes,7697674.0,7462950,10,352.0,7947673.0,4614509,11160095,2317787,Rejected
98,2,Graduate,Yes,5573402.0,26461598,18,425.0,817397.0,13934209,15995067,12707477,Rejected
99,0,Graduate,No,3007979.0,14041145,14,458.0,10375543.0,4435638,20899975,2910091,Rejected
100,0,Graduate,No,5693570.0,8659341,14,900.0,6241921.0,15289747,8147109,3592112,Approved
101,0,Graduate,No,759421.0,7588026,16,475.0,9610398.0,5005173,20458972,4141068,Rejected
102,3,Not Graduate,No,1396886.0,15189066,8,591.0,3991323.0,13487443,4643806,8047976,Rejected
103,1,Not Graduate,No,3393973.0,18979259,20,458.0,3494642.0,16763840,6290578,14577952,Rejected
104,3,Graduate,No,1581194.0,1014335,12,790.0,20995447.0,7759456,5341428,3985838,Approved
105,5,Not Graduate,Yes,2524962.0,6088797,10,656.0,13589919.0,12045910,15201462,11401791,Approved
106,1,Not Graduate,Yes,5639619.0,17954930,2,536.0,4528222.0,3312458,7345160,2006632,Approved
107,2,Not Graduate,Yes,6229050.0,9929719,18,727.0,4403187.0,2275579,13284787,12218256,Approved
108,4,Graduate,No,7605106.0,15288215,4,424.0,19607507.0,2140155,12014397,3010286,Rejected
109,1,Not Graduate,Yes,5876448.0,10148528,12,614.0,2975681.0,18536589,23124655,8570913,Approved
110,0,Graduate,No,5998164.0,27040727,16,578.0,8834638.0,14730624,7338097,7611715,Rejected
111,1,Graduate,No,788162.0,25469681,6,404.0,29031034.0,13952311,3720946,4011558,Rejected
112,0,Graduate,No,3443389.0,27130120,10,341.0,8066841.0,13282869,17488038,12965319,Rejected
113,5,Graduate,No,8171265.0,26734479,14,696.0,23164555.0,3692889,2714087,13358304,Approved
114,4,Graduate,No,3012194.0,37577141,8,759.0,4335520.0,17698178,15475124,2806400,Approved
115,3,Graduate,No,5093864.0,5874176,10,790.0,9846486.0,8950061,23550142,3653764,Approved
116,5,Graduate,No,6136311.0,28222230,2,864.0,10650637.0,15292155,8820498,5471711,Approved
117,4,Not Graduate,No,,2251420,8,467.0,7440707.0,16054778,8840992,3026471,Approved
118,1,Not Graduate,No,615474.0,22295175,14,473.0,23052949.0,17709302,8747583,13633342,Rejected
119,5,Graduate,No,8153210.0,26053974,20,671.0,6071511.0,10321541,14721817,9481088,Approved
120,3,Not Graduate,No,8291569.0,37411960,14,898.0,27830346.0,14024435,24735916,9197474,Approved
121,4,Not Graduate,No,3403028.0,2890815,20,449.0,26281478.0,8429464,8283850,2135260,Approved
122,5,Not Graduate,No,4456219.0,25104916,20,548.0,24223820.0,2890990,12575169,11133328,Rejected
123,1,Graduate,No,9776700.0,10636700,8,479.0,28633421.0,6584219,6954484,4129373,Approved
124,0,Not Graduate,No,2896587.0,4784781,12,419.0,15886694.0,7740319,24983628,9976448,Approved
125,1,Not Graduate,No,2282003.0,8026537,10,327.0,27449493.0,9590108,20307169,8700035,Rejected
126,2,Not Graduate,No,8655143.0,22273819,2,416.0,24679818.0,10927848,18237023,11612552,Approved
127,4,Graduate,No,9477755.0,8261650,16,561.0,27491443.0,4040189,23090092,10148767,Approved
128,5,Not Graduate,No,4289254.0,1165020,14,337.0,15480499.0,665504,77899,11760196,Rejected
129,0,Not Graduate,No,,37733327,10,496.0,19031544.0,9982546,24837152,4462605,Rejected
130,3,Not Graduate,No,5879226.0,21447859,20,824.0,3987850.0,13817398,12527442,2939314,Approved
131,2,Graduate,Yes,8763561.0,36295386,20,736.0,14595124.0,3362216,1751454,11368921,Approved
132,1,Graduate,No,6029567.0,671879,14,709.0,9906728.0,3526032,589247,4618390,Approved
133,0,Not Graduate,No,2741781.0,11644646,20,632.0,15590622.0,9202533,13990249,14761645,Approved
134,2,Not Graduate,Yes,3670150.0,35402676,6,830.0,15873018.0,15208913,13583205,7428565,Approved
135,5,Graduate,No,1886150.0,15338181,16,764.0,620603.0,15168660,10921329,5362074,Rejected
136,1,Not Graduate,No,7438599.0,5214962,10,457.0,11849720.0,13958317,24923183,7237976,Approved
137,3,Graduate,No,,33546350,4,459.0,14027651.0,16517430,736594,770851,Rejected
138,4,Not Graduate,No,5146649.0,10170917,4,,20662849.0,11435069,5168212,13020355,Approved
139,2,Not Graduate,No,6111319.0,39231255,8,675.0,16312481.0,10053734,8843133,12286495,Approved
140,5,Not Graduate,No,6487399.0,599519,14,378.0,10472408.0,2631707,11811751,1922120,Rejected
141,5,Not Graduate,No,9513007.0,27215501,20,496.0,16486248.0,12038651,393592,14110913,Approved
142,1,Graduate,Yes,5274251.0,27044522,8,419.0,14321330.0,11741317,23950720,373673,Rejected
143,2,Not Graduate,No,9689326.0,27042087,18,525.0,2948782.0,12148794,370963,4165169,Rejected
144,1,Graduate,No,7929333.0,3074274,4,894.0,19389972.0,18291801,20203413,12416568,Approved
145,1,Not Graduate,No,5324360.0,12726803,12,709.0,18360180.0,2902587,474037,10977254,Approved
146,0,Not Graduate,No,3940079.0,18570556,8,837.0,238865.0,11813441,6947020,1837684,Approved
147,3,Not Graduate,No,1903854.0,20906644,12,638.0,24360559.0,12201842,8072256,8800685,Rejected
148,3,Graduate,No,5717271.0,30014946,20,855.0,27599393.0,7263355,9575310,6438388,Approved
149,0,Not Graduate,No,1528323.0,7197088,18,895.0,6601593.0,17888468,13884494,8718552,Approved
150,1,Graduate,No,1350675.0,4431029,20,836.0,3664139.0,11448501,5137933,13270012,Approved
151,5,Graduate,No,8044286.0,34914817,18,519.0,8079484.0,8110931,23835304,4578926,Rejected
152,1,Not Graduate,No,8326991.0,13405713,18,592.0,7277376.0,14159416,5128862,6423497,Approved
153,0,Graduate,Yes,2222601.0,36624640,18,503.0,,11924771,850547,7117284,Rejected
154,2,Not Graduate,No,3570116.0,20353250,6,813.0,9489165.0,5944376,10014041,14680664,Approved
155,5,Graduate,Yes,9425354.0,4385123,18,501.0,25479007.0,431403,24513529,10391911,Approved
156,1,Graduate,Yes,4571100.0,29194991,6,331.0,21534778.0,11648082,2918079,808757,Rejected
157,4,Not Graduate,No,4224389.0,29319400,20,388.0,17383078.0,16398429,7346008,12264756,Rejected
158,4,Not Graduate,No,2631791.0,33705747,6,501.0,597264.0,10076426,883122,12192412,Rejected
159,1,Graduate,No,2660686.0,32877745,10,592.0,5010670.0,2766199,18996918,14037412,Approved
160,4,Not Graduate,No,7391611.0,34462959,12,414.0,26101872.0,1587701,18213748,490052,Rejected
161,2,Not Graduate,No,2117953.0,357942,18,521.0,23834856.0,3073400,22887801,2376461,Approved
162,3,Not Graduate,No,7156779.0,20232219,2,481.0,11041068.0,19381359,7903152,3993312,Approved
163,3,Graduate,No,9556623.0,32563677,16,768.0,21028991.0,19018305,14354087,14943642,Approved
164,3,Not Graduate,No,1107233.0,938466,8,725.0,6964129.0,3714669,8186894,6306308,Approved
165,0,Not Graduate,No,9259405.0,23011310,20,851.0,17492122.0,1359507,15146437,11178226,Approved
166,4,Not Graduate,No,1330523.0,38436544,14,359.0,11905486.0,12109810,4582592,1239211,Rejected
167,1,Graduate,No,8460772.0,15865954,12,784.0,28265011.0,17413341,1954237,1247886,Approved
168,1,Not Graduate,Yes,6291209.0,31623820,12,310.0,17838090.0,2304782,4161589,913218,Rejected
169,0,Not Graduate,Yes,6085804.0,26816479,14,684.0,28187826.0,5037341,13419187,6122240,Approved
170,3,Not Graduate,Yes,6767087.0,23401456,8,709.0,17482957.0,15028227,21731250,1593239,Approved
171,4,Graduate,Yes,3685256.0,36376401,12,341.0,13495610.0,8132927,499968,7348683,Rejected
172,0,Not Graduate,No,9233756.0,26029977,6,422.0,28384579.0,377907,19647848,6741356,Rejected
173,3,Not Graduate,Yes,3216635.0,1098086,10,551.0,9180058.0,3752959,9551087,3751741,Approved
174,1,Graduate,Yes,1152602.0,842118,4,783.0,15979901.0,11652921,19207842,7327288,Approved
175,3,Graduate,Yes,5663518.0,17643929,6,512.0,63082.0,9548554,9338861,2487785,Approved
176,1,Not Graduate,Yes,5976902.0,24101527,18,567.0,9744687.0,16097559,5667276,7946771,Rejected
177,4,Graduate,Yes,,29213195,12,839.0,10146006.0,4281304,14412624,4851641,Approved
178,2,Not Graduate,No,1372685.0,4078055,6,434.0,9579513.0,18865965,3155081,6141453,Rejected
179,5,Not Graduate,No,6007290.0,38448904,4,797.0,19045053.0,18073627,14896578,14888141,Approved
180,0,Not Graduate,Yes,2408665.0,36434561,10,425.0,6340449.0,9630505,9483587,8435436,Rejected
181,2,Graduate,No,8625288.0,22575612,20,658.0,-56063.0,2876515,18372324,7392948,Rejected
182,0,Graduate,No,6574908.0,3821140,10,802.0,13190152.0,1421195,21841898,13440957,Approved
183,5,Not Graduate,Yes,9602887.0,16284305,2,617.0,19600949.0,12313803,18320860,7790268,Approved
184,5,Graduate,No,899444.0,3241937,6,311.0,27609690.0,6799549,9824448,4771319,Approved
185,1,Not Graduate,No,7684614.0,21608164,14,776.0,1961854.0,3138081,7858482,127634,Approved
186,3,Graduate,No,7037896.0,16724682,18,593.0,11371166.0,600357,22199837,523091,Approved
187,4,Graduate,No,809026.0,12005613,10,739.0,2600470.0,8269694,18530086,2402731,Approved
188,3,Graduate,Yes,1406093.0,10386873,8,815.0,10687700.0,8601365,4731638,4266454,Approved
189,3,Not Graduate,No,6174928.0,5240881,6,690.0,24715804.0,14979919,11413675,8846177,Approved
190,1,Not Graduate,No,5907249.0,16319069,20,615.0,15094836.0,5325568,24020032,2998784,Approved
191,0,Graduate,No,9741717.0,27928627,18,307.0,15234526.0,4749364,17859752,14088515,Rejected
192,5,Graduate,Yes,9511417.0,32821286,14,807.0,26101891.0,13920939,19777616,4556391,Approved
193,5,Graduate,No,5437915.0,34518825,14,423.0,12676743.0,6427694,24694139,2498814,Rejected
194,3,Not Graduate,No,8778540.0,11985326,16,671.0,,1544894,3993345,1675984,Approved
195,2,Graduate,No,5647565.0,15260464,20,613.0,20484345.0,16431986,899144,644825,Approved
196,2,Not Graduate,Yes,248648.0,10121274,2,484.0,,19268048,819531,2968141,Rejected
197,4,Not Graduate,No,6009281.0,38604212,8,846.0,4491694.0,8915496,12952763,8636333,Approved
198,5,Not Graduate,No,9478544.0,2714430,10,884.0,25717633.0,7996308,21271669,7389234,Approved
199,5,Graduate,No,8194751.0,37839249,10,824.0,9400117.0,8857004,20296811,7996191,Approved
200,4,Not Graduate,No,6480993.0,35201240,2,338.0,28245243.0,1448943,14424305,2547811,Rejected
201,3,Graduate,No,2630929.0,11193955,6,383.0,14957514.0,8727948,5686882,9184979,Rejected
202,0,Graduate,No,2270796.0,15816602,4,320.0,9718416.0,17559745,18542101,11758031,Rejected
203,0,Not Graduate,No,1814468.0,3578395,14,552.0,28473119.0,2228289,5184992,170482,Approved
204,5,Not Graduate,No,2946455.0,38539056,10,602.0,16503334.0,15657514,18186742,14613394,Rejected
205,3,Graduate,No,8004527.0,367824,6,557.0,9340487.0,2074075,24645105,3162348,Approved
206,0,Graduate,Yes,8342958.0,11677341,16,841.0,18034589.0,9357168,22387860,11534118,Approved
207,0,Not Graduate,No,9613191.0,38220239,2,851.0,5038985.0,662553,3171638,5161431,Approved
208,3,Graduate,No,6142425.0,2753843,2,760.0,15342967.0,4389986,9916967,1504653,Approved
209,0,Not Graduate,No,9636728.0,20868856,12,523.0,21143554.0,13183737,2752149,4032668,Approved
210,0,Not Graduate,No,3391963.0,37410503,2,391.0,22400812.0,16838650,23983003,6264947,Rejected
211,3,Graduate,No,1381296.0,28339630,8,579.0,26075308.0,1975158,11604088,14459018,Rejected
212,4,Graduate,No,5786237.0,27504384,12,469.0,5694398.0,15003729,14358275,4179303,Rejected
213,3,Graduate,Yes,2778669.0,8351752,2,547.0,3283226.0,6053557,21211161,5811223,Approved
214,1,Not Graduate,No,4069005.0,13276335,18,660.0,16431538.0,1820584,20894831,3166613,Approved
215,4,Not Graduate,Yes,6878213.0,34904091,8,648.0,19970492.0,15711624,22280702,5792694,Approved
216,1,Graduate,No,2723517.0,25206991,18,734.0,8779381.0,4881207,6585200,3673812,Approved
217,1,Not Graduate,No,3776068.0,19231477,18,705.0,14504904.0,16184797,3948475,11882824,Approved
218,4,Not Graduate,No,1188494.0,39420810,12,900.0,8054196.0,15634178,6381590,13596322,Approved
219,3,Graduate,No,8648654.0,11416940,14,377.0,11695004.0,18223713,9854632,8443179,Approved
220,5,Not Graduate,Yes,3162227.0,26966917,2,757.0,25728559.0,3177562,1599289,214691,Approved
221,3,Graduate,Yes,4349956.0,32983140,10,885.0,21403645.0,16437050,20831495,11741272,Approved
222,3,Graduate,No,8308507.0,16741776,6,691.0,1758116.0,17907340,13626044,659470,Approved
223,0,Graduate,No,2412746.0,31435450,20,313.0,5431624.0,6614836,9873899,11264633,Rejected
224,2,Graduate,Yes,9097174.0,23496230,20,344.0,24276069.0,5183227,7394048,10665277,Rejected
225,1,Graduate,No,2975614.0,18466191,12,337.0,24818868.0,13845170,12502135,14329691,Rejected
226,1,Graduate,No,2033601.0,12276837,8,715.0,25110601.0,3456809,23955741,6322353,Approved
227,5,Not Graduate,No,5557310.0,30830625,18,544.0,8163025.0,15735482,10146779,1807821,Rejected
228,2,Not Graduate,No,3733654.0,7512979,14,361.0,9683946.0,11411565,7790352,1190156,Rejected
229,5,Not Graduate,No,2703240.0,21346538,8,792.0,6921335.0,2093274,10640790,10778270,Rejected
230,3,Graduate,No,9162990.0,5421703,12,622.0,21363515.0,6656462,6616421,2752004,Approved
231,4,Graduate,No,5047418.0,14142231,4,551.0,3829934.0,13794139,20757369,1624402,Approved
232,3,Graduate,Yes,953523.0,30637202,6,767.0,6453830.0,15737468,17716375,401799,Approved
233,3,Not Graduate,No,4323244.0,1705392,14,360.0,26088653.0,13472960,11258453,6092940,Approved
234,2,Not Graduate,No,8075904.0,6543279,8,418.0,12383943.0,9634418,13220696,7078056,Approved
235,1,Graduate,No,6755706.0,33377816,20,386.0,19275666.0,11463114,21862323,10316816,Approved
236,4,Graduate,No,2704037.0,1092553,14,894.0,25223246.0,3309391,23249734,5832223,Approved
237,1,Not Graduate,Yes,2809855.0,28710884,18,379.0,9545074.0,12152535,3726581,4057092,Rejected
238,0,Graduate,Yes,9662407.0,22402541,10,527.0,11162641.0,1582906,13297465,1101693,Approved
239,3,Graduate,No,8362170.0,35946255,2,782.0,,11686111,20881407,85128,Approved
240,1,Not Graduate,No,7994833.0,15894711,10,609.0,1173986.0,9710398,4371349,13300330,Approved
241,5,Not Graduate,No,2717850.0,22748814,12,882.0,1723462.0,3530060,5664058,1549473,Approved
242,5,Graduate,No,2986655.0,35458984,4,784.0,21052127.0,2005632,19108779,14311404,Approved
243,5,Graduate,No,9792496.0,11942742,16,324.0,6202811.0,8845043,10094753,13873920,Rejected
244,2,Not Graduate,No,8860767.0,37007464,4,501.0,24964990.0,16266277,10680931,14994087,Rejected
245,0,Graduate,No,2348652.0,23100978,18,524.0,6955721.0,11024211,14886256,1527221,Rejected
246,5,Graduate,No,5244661.0,29669623,4,809.0,16223707.0,19134951,666808,12344701,Approved
247,2,Graduate,No,5796003.0,24179811,6,878.0,28559568.0,3607083,7197624,9977631,Approved
248,5,Graduate,No,8422819.0,27268456,16,858.0,26688782.0,852959,16273936,9851261,Approved
249,5,Graduate,Yes,4618349.0,13862336,12,819.0,7357415.0,5138112,2057651,9268578,Approved
250,5,Not Graduate,No,9582302.0,606688,2,482.0,18726512.0,6858732,6614275,1979636,Approved
251,1,Graduate,Yes,1967588.0,26090882,8,376.0,24814274.0,14476793,11009361,856688,Rejected
252,2,Graduate,No,8799469.0,1775785,10,725.0,24232387.0,10961384,9457713,10569393,Approved
253,5,Not Graduate,Yes,3138493.0,27577963,6,366.0,3167290.0,12632575,2637071,12713914,Rejected
254,1,Not Graduate,No,4684045.0,16825065,2,793.0,17424327.0,4286567,12399850,10869211,Approved
255,0,Not Graduate,No,8812984.0,20305015,6,846.0,19532428.0,2872897,24213308,4229584,Approved
256,3,Not Graduate,No,1838487.0,1119072,18,376.0,16380059.0,12387038,2613237,7105725,Approved
257,5,Graduate,Yes,7614332.0,30721070,4,354.0,14154961.0,8610162,7744817,7943690,Rejected
258,4,Not Graduate,Yes,1078269.0,5310631,2,772.0,15573546.0,456498,6865383,5151254,Approved
259,3,Graduate,No,249314.0,3709657,14,546.0,16576037.0,12939373,19830045,625270,Rejected
260,0,Not Graduate,Yes,6009133.0,36892317,14,738.0,11559375.0,8464166,6609456,4751641,Approved
261,3,Graduate,No,7733006.0,25026916,10,613.0,10474996.0,15638055,6593633,12489534,Approved
262,5,Not Graduate,No,1629911.0,36452693,4,619.0,13050588.0,18323993,12228061,4407725,Rejected
263,0,Not Graduate,No,528897.0,30543782,2,519.0,6073426.0,19311719,4172181,10103364,Rejected
264,3,Graduate,No,2594538.0,13337978,10,670.0,13296921.0,5425766,421806,13824857,Approved
265,5,Not Graduate,No,568406.0,4004277,20,515.0,28880406.0,10070602,12070613,9715333,Rejected
266,4,Not Graduate,Yes,2658020.0,24336876,8,348.0,21435056.0,12008943,18583806,4944124,Rejected
267,4,Not Graduate,Yes,1786444.0,3143408,18,762.0,23058097.0,10282197,17466303,7819826,Approved
268,4,Graduate,Yes,6474528.0,11414056,10,417.0,11600170.0,3762288,4889062,8082474,Approved
269,2,Not Graduate,Yes,3974150.0,5369060,20,381.0,243853.0,5506359,2397856,1171369,Rejected
270,1,Graduate,Yes,5276703.0,5408454,4,562.0,28589707.0,16083512,9079299,9358476,Approved
271,4,Graduate,No,7298630.0,20774243,8,888.0,17930168.0,8836026,9339343,8189438,Approved
272,4,Graduate,No,3966437.0,15622691,18,795.0,895549.0,15854463,18021131,7410200,Approved
273,5,Graduate,No,2892787.0,29809647,16,475.0,18906451.0,6801491,12330896,3910529,Rejected
274,5,Not Graduate,No,1322731.0,14015428,6,388.0,23712855.0,17563365,1596919,10594573,Rejected
275,3,Graduate,No,5140172.0,6548227,16,658.0,2225912.0,16164769,24080419,8842600,Approved
